geneID,variable,value
RAT1,goC,GO:0005739
RAT1,goC,GO:0005634
RAT1,goC,GO:0110103
TMA23,goC,GO:0005730
NSR1,goC,GO:0005739
NSR1,goC,GO:0005635
NSR1,goC,GO:0005730
NSR1,goC,GO:0005634
NSR1,goC,GO:0032040
NAF1,goC,GO:0005654
NAF1,goC,GO:0005634
NAF1,goC,GO:0005732
RRP15,goC,GO:0005730
RRP15,goC,GO:0005634
RRP15,goC,GO:0030687
RRP14,goC,GO:0005730
RRP46,goC,GO:0000177
RRP46,goC,GO:0000178
RRP46,goC,GO:0000176
RRP46,goC,GO:0005730
RRP46,goC,GO:0005634
DHR2,goC,GO:0005730
DHR2,goC,GO:0005654
DHR2,goC,GO:0032040
YCR087C-A,goC,GO:0005730
IMP4,goC,GO:0030686
IMP4,goC,GO:0034457
IMP4,goC,GO:0005730
IMP4,goC,GO:0005654
IMP4,goC,GO:0032040
CMS1,goC,GO:0030686
CMS1,goC,GO:0005737
CMS1,goC,GO:0005634
RRP42,goC,GO:0000177
RRP42,goC,GO:0000178
RRP42,goC,GO:0000176
RRP42,goC,GO:0005730
RRP42,goC,GO:0005634
RRP36,goC,GO:0030686
RRP36,goC,GO:0005730
RRP36,goC,GO:0005654
RRP36,goC,GO:0032040
LCP5,goC,GO:0005730
LCP5,goC,GO:0030532
LCP5,goC,GO:0032040
LCP5,goC,GO:0005732
IPI3,goC,GO:0005656
IPI3,goC,GO:0005654
IPI3,goC,GO:0005634
IPI3,goC,GO:0097344
HSP82,goC,GO:0005737
HSP82,goC,GO:0005829
HSP82,goC,GO:0005634
HSP82,goC,GO:0048471
HSP82,goC,GO:0005886
HSP82,goC,GO:0032991
SSB2,goC,GO:0005737
SSB2,goC,GO:0010494
SSB2,goC,GO:0005886
SSB2,goC,GO:0005844
EFG1,goC,GO:0030685
EFG1,goC,GO:0005730
EFG1,goC,GO:0030688
SQS1,goC,GO:0030686
SQS1,goC,GO:0005737
SQS1,goC,GO:0005730
SQS1,goC,GO:0005634
SQS1,goC,GO:0030687
SQS1,goC,GO:0030688
YVH1,goC,GO:0005737
YVH1,goC,GO:0010494
YVH1,goC,GO:0005634
TSR2,goC,GO:0005737
TSR2,goC,GO:0005634
BMT6,goC,GO:0005737
BMT6,goC,GO:0005634
UBA2,goC,GO:0005737
UBA2,goC,GO:0005634
UBA2,goC,GO:0031510
CKB1,goC,GO:0032545
CKB1,goC,GO:0005737
CKB1,goC,GO:0005730
CKB1,goC,GO:0005654
CKB1,goC,GO:0005956
CKB1,goC,GO:0032040
CKB1,goC,GO:0034456
RPF1,goC,GO:0005730
RPF1,goC,GO:0030687
GAR1,goC,GO:0031429
GAR1,goC,GO:0005730
CSL4,goC,GO:0005737
CSL4,goC,GO:0000177
CSL4,goC,GO:0000178
CSL4,goC,GO:0000176
CSL4,goC,GO:0005730
CSL4,goC,GO:0005634
RRP6,goC,GO:0000178
RRP6,goC,GO:0000176
RRP6,goC,GO:0005730
RRP6,goC,GO:0005634
PWP2,goC,GO:0030686
PWP2,goC,GO:0005737
PWP2,goC,GO:0005730
PWP2,goC,GO:0005654
PWP2,goC,GO:0034388
PWP2,goC,GO:0032040
UTP13,goC,GO:0030686
UTP13,goC,GO:0005730
UTP13,goC,GO:0005654
UTP13,goC,GO:0034388
UTP13,goC,GO:0032040
NOP6,goC,GO:0030686
NOP6,goC,GO:0005730
NOP6,goC,GO:0032040
NOP16,goC,GO:0005730
NOP16,goC,GO:0005634
NOP16,goC,GO:0030687
IPI1,goC,GO:0005829
IPI1,goC,GO:0005654
IPI1,goC,GO:0005634
IPI1,goC,GO:0097344
REX2,goC,GO:0005739
PXR1,goC,GO:0005730
PXR1,goC,GO:0005654
PXR1,goC,GO:0032040
SGD1,goC,GO:0097078
SGD1,goC,GO:0005730
SGD1,goC,GO:0005634
SGD1,goC,GO:0032040
NAN1,goC,GO:0030686
NAN1,goC,GO:0005730
NAN1,goC,GO:0005654
NAN1,goC,GO:0033553
NAN1,goC,GO:0032040
NAN1,goC,GO:0034455
YTM1,goC,GO:0005730
YTM1,goC,GO:0005654
YTM1,goC,GO:0005634
YTM1,goC,GO:0070545
YTM1,goC,GO:0030687
RCM1,goC,GO:0005730
RCM1,goC,GO:0005634
NIP7,goC,GO:0005737
NIP7,goC,GO:0005730
NIP7,goC,GO:0005634
NIP7,goC,GO:0030687
LAS1,goC,GO:0005737
LAS1,goC,GO:0090730
LAS1,goC,GO:0005739
LAS1,goC,GO:0005730
LAS1,goC,GO:0005634
LAS1,goC,GO:0030687
BCD1,goC,GO:0005737
BCD1,goC,GO:0005634
BCD1,goC,GO:0070761
RPP1,goC,GO:0005829
RPP1,goC,GO:0005655
RPP1,goC,GO:0005634
RPP1,goC,GO:0000172
KAP114,goC,GO:0005737
KAP114,goC,GO:0005829
KAP114,goC,GO:0005635
KAP114,goC,GO:0005643
KAP114,goC,GO:0005634
NOP53,goC,GO:0000176
NOP53,goC,GO:0005730
NOP53,goC,GO:0005654
NOP53,goC,GO:0005634
UTP6,goC,GO:0030686
UTP6,goC,GO:0005730
UTP6,goC,GO:0005654
UTP6,goC,GO:0034388
UTP6,goC,GO:0032040
TSR4,goC,GO:0005737
KRI1,goC,GO:0030686
KRI1,goC,GO:0005730
FCF2,goC,GO:0005730
FCF2,goC,GO:0005634
BUD20,goC,GO:0005737
BUD20,goC,GO:0005634
BUD20,goC,GO:0030687
RPB8,goC,GO:0005829
